test,type,imgA,imgB,width,height,pixels,result,time_sec,time_ctu,pixreads,pixwrites,lutreads,lutwrites,pixvalidations,stackops,queueops,peakstack,peakqueue,peakrecdepth
ImageIsEqual,self,chess32x32,chess32x32,32,32,1024,1,0.000001,0.000000,0,0,0,0,0,0,0,0,0,0
ImageIsEqual,deep_equal,chess32x32,copy,32,32,1024,1,0.000001,0.000001,2048,0,2048,0,1024,0,0,0,0,0
ImageIsEqual,rotated,chess32x32,rot180,32,32,1024,0,0.000000,0.000000,6,0,6,0,3,0,0,0,0,0
ImageIsEqual,size_diff,chess32x32,bigger,32,32,1024,0,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0
ImageIsEqual,self,palete32x32,palete32x32,32,32,1024,1,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0
ImageIsEqual,deep_equal,palete32x32,copy,32,32,1024,1,0.000001,0.000001,2048,0,2048,0,1024,0,0,0,0,0
ImageIsEqual,rotated,palete32x32,rot180,32,32,1024,0,0.000000,0.000000,2,0,2,0,1,0,0,0,0,0
ImageIsEqual,size_diff,palete32x32,bigger,32,32,1024,0,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0
fill,recursive,white32x32,,32,32,1024,1024,0.000039,0.000022,4993,1024,0,0,4097,0,0,0,0,1009
fill,stack,white32x32,,32,32,1024,1024,0.000032,0.000018,4994,1024,0,0,4098,8194,0,1958,0,0
fill,queue,white32x32,,32,32,1024,1024,0.000032,0.000018,4994,1024,0,0,4098,0,8194,0,254,0
segment,stack,chess32x32,,32,32,1024,60,0.000021,0.000012,4274,510,0,0,3184,4200,0,12,0,0
segment,queue,chess32x32,,32,32,1024,60,0.000023,0.000013,4274,510,0,0,3184,0,4200,0,12,0
segment,stack,white32x32,,32,32,1024,1,0.000029,0.000016,6018,1024,0,0,5122,8194,0,1990,0,0
segment,queue,white32x32,,32,32,1024,1,0.000032,0.000018,6018,1024,0,0,5122,0,8194,0,128,0
ImageIsEqual,self,chess64x64,chess64x64,64,64,4096,1,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0
ImageIsEqual,deep_equal,chess64x64,copy,64,64,4096,1,0.000008,0.000005,8192,0,8192,0,4096,0,0,0,0,0
ImageIsEqual,rotated,chess64x64,rot180,64,64,4096,0,0.000000,0.000000,10,0,10,0,5,0,0,0,0,0
ImageIsEqual,size_diff,chess64x64,bigger,64,64,4096,0,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0
